trip_duration_days,miles_traveled,total_receipts_amount,actual_reimbursement,predicted_reimbursement,error,abs_error
9,662.0,2275.59,1599.27,1669.8302,-70.56018,70.56018
13,63.0,107.92,710.25006,864.15405,-153.90399,153.90399
9,218.0,1203.45,1561.63,1472.3402,89.289795,89.289795
2,713.0,740.33,1048.28,985.7182,62.56183,62.56183
9,13.0,986.41,1271.52,1325.3209,-53.800903,53.800903
12,33.0,1249.13,1707.38,1497.3093,210.07068,210.07068
14,865.0,1422.11,1921.1799,1982.3326,-61.15271,61.15271
2,301.0,769.23,731.28,749.4737,-18.193665,18.193665
14,530.0,2028.06,2079.14,1896.7625,182.37744,182.37744
3,512.0,1251.6,1360.76,1388.8726,-28.112549,28.112549
3,769.0,2497.93,1587.8,1564.9554,22.844604,22.844604
3,269.0,708.05,799.12,827.48816,-28.368164,28.368164
5,1010.0,2054.21,1810.37,1729.6185,80.751465,80.751465
1,181.0,128.05,225.12004,327.54117,-102.42113,102.42113
10,872.0,2191.27,1776.62,1771.4725,5.147461,5.147461
4,650.0,619.49,676.38,713.56866,-37.18866,37.18866
14,1100.0,237.69,1265.57,1377.675,-112.1051,112.1051
5,66.13,848.03,1050.25,1096.1896,-45.939575,45.939575
12,1075.0,2328.11,1798.38,1851.0566,-52.676636,52.676636
4,1194.0,2250.51,1691.15,1686.9229,4.227173,4.227173
10,87.0,498.96,781.97003,793.7534,-11.783386,11.783386
12,333.0,1103.21,1618.13,1592.8507,25.279297,25.279297
7,636.0,697.02,1276.0599,1244.7559,31.304077,31.304077
7,623.0,1691.39,1800.86,1672.813,128.047,128.047
6,470.0,2235.72,1628.6,1647.3428,-18.742798,18.742798
2,660.0,1944.4,1531.2,1464.764,66.43591,66.43591
11,650.0,524.8,1179.09,1251.1409,-72.0509,72.0509
6,884.0,1798.31,1897.87,1835.0571,62.812866,62.812866
1,252.75,285.5,331.7399,416.9012,-85.161316,85.161316
1,697.0,2148.5,1421.07,1366.1764,54.893555,54.893555
1,362.79,749.19,636.51,690.1339,-53.6239,53.6239
3,175.0,440.19,431.16995,621.5672,-190.39725,190.39725
5,942.0,2092.87,1696.72,1747.2756,-50.555664,50.555664
2,1155.0,1517.18,1543.17,1491.286,51.884033,51.884033
8,1173.0,671.25,1419.34,1515.6672,-96.32727,96.32727
10,224.0,407.51,794.7,846.73413,-52.03412,52.03412
12,466.0,1291.33,1770.37,1727.596,42.774048,42.774048
11,1004.0,167.15,1175.65,1211.302,-35.651978,35.651978
14,1090.0,2248.68,1905.5,1926.999,-21.499023,21.499023
7,738.0,730.28,1429.72,1399.804,29.916016,29.916016
5,1004.0,2367.63,1743.85,1713.1995,30.650513,30.650513
3,154.0,274.04,406.91,564.92865,-158.01865,158.01865
12,675.0,2277.93,1807.33,1798.5328,8.797119,8.797119
3,41.0,4.52,320.12003,324.73196,-4.6119385,4.6119385
7,125.0,193.62,616.24,673.8686,-57.6286,57.6286
2,798.0,2334.41,1485.4,1484.8849,0.5151367,0.5151367
10,965.0,1851.28,1805.77,1809.1824,-3.4123535,3.4123535
8,836.0,735.52,1606.63,1437.7811,168.84888,168.84888
5,781.0,2114.27,1789.85,1729.8105,60.03943,60.03943
2,941.0,1565.77,1432.79,1507.7959,-75.00586,75.00586
3,692.0,450.7,748.57,794.4851,-45.9151,45.9151
12,643.0,2194.16,1758.03,1814.0891,-56.059082,56.059082
9,1078.0,161.85,1260.96,1219.4929,41.46704,41.46704
7,1168.0,667.94,1639.55,1484.3419,155.20813,155.20813
1,462.0,2047.57,1202.9,1225.4482,-22.548218,22.548218
12,1065.0,203.2,1408.25,1315.2183,93.03174,93.03174
2,222.0,456.24,437.4,531.1633,-93.763336,93.763336
5,521.0,1448.55,1624.01,1603.5424,20.467651,20.467651
8,1124.0,1908.69,1833.27,1817.3635,15.906494,15.906494
5,586.0,2135.36,1661.61,1688.0555,-26.445557,26.445557
13,19.0,807.27,1331.53,1314.396,17.134033,17.134033
5,516.0,1450.67,1547.5,1603.4333,-55.93335,55.93335
1,288.72,159.26,303.9401,382.63126,-78.69116,78.69116
5,477.0,704.42,1045.96,1068.8308,-22.87085,22.87085
5,262.0,1173.79,1485.59,1372.9557,112.63428,112.63428
14,600.0,1120.05,1847.84,1811.206,36.63391,36.63391
11,654.0,1516.42,1870.4299,1836.2264,34.20349,34.20349
5,754.0,489.99,765.13,798.57184,-33.441833,33.441833
9,994.0,1742.62,1849.58,1854.1151,-4.5351562,4.5351562
13,1055.0,2005.84,1997.52,1900.814,96.706055,96.706055
1,893.0,19.76,570.71,586.8356,-16.12555,16.12555
10,834.0,1820.8,1883.49,1777.3982,106.0918,106.0918
1,276.85,485.54,361.66,500.41708,-138.75708,138.75708
2,752.0,958.29,1144.41,1203.6661,-59.256104,59.256104
6,909.0,1332.18,1720.21,1842.5347,-122.32471,122.32471
1,458.0,834.7,737.28,838.7815,-101.501465,101.501465
14,807.0,2358.41,1819.41,1880.1998,-60.789795,60.789795
3,471.0,288.19,535.67,660.67664,-125.00665,125.00665
12,37.0,52.65,789.01,735.74603,53.263977,53.263977
5,261.0,464.94,621.12,744.49854,-123.37854,123.37854
5,195.73,1228.49,511.23,887.7857,-376.5557,376.5557
9,463.0,1024.53,1476.48,1425.601,50.87903,50.87903
