case_id,trip_duration_days,miles_traveled,total_receipts_amount,predicted_reimbursement
190,5,516.0,1150.26,1488.9
191,5,371.0,1501.91,1520.91
192,5,537.0,883.0,1275.06
193,5,622.0,492.17,951.48
194,5,152.0,340.01,596.82
195,5,77.0,281.02,514.83
196,5,629.0,709.22,1169.36
197,5,779.0,436.92,971.74
198,5,330.0,113.97,623.91
199,5,367.0,112.29,659.53
200,5,415.0,575.13,879.52
201,9,1099.0,1668.45,1906.18
202,9,269.0,1781.44,1569.95
203,12,1000.0,675.11,1617.34
204,9,579.0,440.25,1005.22
205,9,108.0,1437.72,1501.67
206,12,1014.0,1213.65,1981.88
207,11,612.0,445.84,1169.72
208,9,595.0,242.11,918.52
209,9,1078.0,105.31,1288.98
210,12,725.0,922.1,1754.6
211,9,444.0,1221.57,1587.97
212,10,433.0,903.88,1369.15
213,11,175.0,1177.54,1576.79
214,10,646.0,430.63,1126.61
215,9,807.0,1917.21,1721.05
216,12,439.0,1231.15,1742.52
217,8,421.0,1964.5,1556.47
218,10,404.0,752.54,1143.29
219,8,946.0,969.17,1897.66
220,10,684.0,900.63,1624.51
221,10,766.0,107.29,1042.99
222,12,700.0,606.73,1506.11
223,12,940.0,1674.57,1910.26
224,11,554.0,1900.81,1708.62
225,11,1040.0,799.87,1792.08
226,8,155.0,1099.49,542.99
227,9,685.0,724.93,1412.7
228,8,886.0,1644.78,1782.12
229,10,488.0,525.26,1033.27
230,11,422.0,2049.39,1662.46
231,8,155.0,218.69,600.48
232,9,508.0,1150.51,1578.66
233,12,495.0,389.65,1101.86
234,11,117.0,1967.99,507.96
235,8,718.0,314.27,983.02
236,9,881.0,1912.66,1719.4
237,11,710.0,233.95,1146.8
238,8,669.0,1270.19,1572.64
239,11,528.0,1118.12,1686.22
240,10,183.0,1305.02,1588.32
241,10,640.0,493.27,1177.03
242,9,122.0,1372.11,1504.65
243,10,133.0,349.52,714.81
244,8,614.0,1198.26,1599.98
245,12,150.0,1725.15,1694.89
246,11,819.0,1014.21,1808.04
247,9,949.0,1087.59,1978.69
248,11,866.0,2099.94,1777.35
249,9,429.0,1624.59,1601.08
250,12,804.0,998.65,1831.15
251,10,1084.0,336.27,1318.22
252,11,996.0,118.49,1193.69
253,10,906.0,1015.59,1826.1
254,9,277.0,1821.25,1571.88
255,11,829.0,1652.34,1801.49
256,9,632.0,475.09,1090.08
257,8,322.0,1293.11,1496.61
258,8,544.0,276.63,873.43
259,11,649.0,858.75,1618.2
260,10,671.0,567.83,1324.81
261,8,292.0,1894.94,1531.48
262,11,466.0,1717.49,603.05
263,12,669.0,1308.88,1837.09
264,11,1035.0,222.42,1247.77
265,8,512.0,1984.46,1573.96
266,12,402.0,1759.03,1778.46
267,12,715.0,977.71,1787.29
268,8,1044.0,457.43,1253.84
269,12,667.0,723.21,1545.74
270,10,921.0,1445.95,1856.49
271,10,594.0,1129.84,1682.24
272,11,597.0,1379.55,1788.64
273,8,513.0,1152.9,1526.51
274,8,1026.0,166.27,1175.88
275,8,683.0,114.33,906.67
276,10,235.0,597.87,903.74
277,12,645.0,1395.76,1839.5
278,8,776.0,735.33,1433.02
279,8,687.0,1050.25,1570.01
280,11,361.0,323.83,955.46
281,9,1024.0,1378.79,1888.92
282,8,874.0,426.01,1150.8
283,10,895.0,707.11,1570.52
284,10,1021.0,1557.6,1928.83
285,8,511.0,1439.85,1559.0
286,10,953.0,970.16,1853.38
287,9,984.0,1913.9,1819.56
288,9,223.0,827.49,618.19
289,10,602.0,2083.44,1674.48
290,9,970.0,213.74,1247.79
291,10,1037.0,968.3,2028.3
292,8,886.0,1350.03,1819.37
293,9,1039.0,1330.31,2036.83
294,11,968.0,1558.26,1913.69
295,11,561.0,325.85,1069.58
296,8,164.0,1590.94,1497.63
297,10,448.0,497.33,979.32
298,11,1075.0,2070.49,1806.56
299,9,561.0,1508.97,1626.9
300,10,587.0,1869.74,1668.72
301,7,847.0,672.46,1392.81
302,6,836.0,233.1,1008.83
303,1,953.0,1165.9,1343.65
304,4,907.0,289.91,842.47
305,2,636.0,1222.89,1358.7
306,5,608.0,208.47,825.13
307,1,658.0,831.92,929.71
308,2,961.0,1160.73,1424.97
309,3,733.0,1094.09,1409.22
310,7,633.0,1004.04,1547.34
311,1,995.0,799.54,1043.41
312,2,804.0,1000.73,1334.6
313,4,623.0,779.78,1174.6
314,1,881.0,979.66,1230.82
315,2,653.0,994.8,1220.71
316,7,611.0,90.51,896.53
317,5,846.0,462.08,1026.99
318,1,674.0,519.53,624.71
319,2,734.0,848.54,1129.31
320,1,729.0,855.65,1033.4
321,6,754.0,893.98,1588.25
322,5,710.0,151.86,852.3
323,3,720.0,447.94,790.61
324,4,615.0,1113.95,1440.21
325,4,691.0,1180.46,1494.97
326,1,906.0,877.7,1136.2
327,5,974.0,634.93,1199.95
328,6,605.0,1173.36,1619.33
329,1,641.0,987.55,1128.51
330,4,764.0,550.89,1002.64
331,2,679.0,112.77,597.3
332,2,930.0,115.16,666.27
333,2,874.0,298.18,671.62
334,7,990.0,992.07,1962.34
335,3,793.0,999.93,1402.9
336,4,745.0,286.12,858.65
337,3,609.0,461.0,728.27
338,2,903.0,51.49,624.66
339,5,843.0,378.05,967.86
340,5,932.0,455.93,997.1
341,3,725.0,112.02,743.45
342,5,771.0,91.77,866.24
343,3,815.0,951.24,1352.02
344,7,759.0,712.74,1420.62
345,7,671.0,125.76,935.95
346,3,727.0,738.52,1093.89
347,4,799.0,926.48,1419.86
348,2,873.0,72.47,650.9
349,1,807.0,789.14,1014.78
350,5,869.0,574.16,1150.14
351,7,799.0,1019.86,1818.27
352,4,909.0,573.21,997.45
353,2,842.0,333.45,645.05
354,5,867.0,568.5,1132.01
355,2,625.0,435.72,609.99
356,3,686.0,312.73,724.77
357,2,881.0,1071.94,1395.89
358,3,908.0,1069.38,1425.65
359,2,626.0,354.6,573.13
360,3,621.0,290.87,676.68
361,3,631.0,413.93,736.91
362,2,685.0,870.75,1115.55
363,6,958.0,1150.07,1826.63
364,3,819.0,1057.52,1423.03
365,2,773.0,95.48,654.48
366,5,732.0,1234.94,1617.46
367,5,941.0,840.25,1451.49
368,1,930.0,662.74,802.16
369,3,745.0,219.84,770.29
370,1,916.0,899.59,1163.13
371,7,671.0,382.72,1037.82
372,2,644.0,859.31,1050.31
373,3,929.0,1069.45,1424.31
374,3,671.0,1047.82,1356.28
375,3,916.0,982.91,1377.49
376,6,668.0,554.34,1085.54
377,2,840.0,1140.61,1417.14
378,2,659.0,368.17,602.22
379,3,758.0,371.29,792.73
380,7,618.0,713.57,1244.93
381,4,621.0,330.05,791.86
382,5,909.0,382.46,967.54
383,1,928.0,1155.97,1340.87
384,1,673.0,407.71,550.94
385,4,961.0,756.98,1181.53
386,2,924.0,504.06,747.43
387,7,988.0,983.04,1958.08
388,1,828.0,62.05,591.94
389,3,617.0,636.04,838.87
390,5,637.0,901.81,1380.36
391,2,781.0,397.22,683.24
392,5,852.0,391.78,956.04
393,1,916.0,528.22,693.59
394,2,724.0,1153.01,1353.35
395,7,771.0,1128.93,1773.61
396,6,795.0,511.77,1142.62
397,4,717.0,1004.2,1430.01
398,3,921.0,469.02,800.98
399,6,891.0,447.64,1131.52
400,6,686.0,1158.71,1660.64
401,10,481.0,479.49,948.49
402,1,631.0,598.99,375.92
403,9,374.0,473.49,854.86
404,8,583.0,652.49,767.79
405,3,561.0,635.99,588.56
406,3,214.0,537.99,389.34
407,10,91.0,661.49,716.72
408,6,593.0,380.99,892.78
409,7,62.0,63.49,570.47
410,9,436.0,797.49,721.45
411,2,806.0,384.49,530.62
412,3,738.0,772.99,684.79
413,10,125.0,347.49,709.48
414,7,748.0,111.49,1085.55
415,8,196.0,467.49,676.04
416,6,71.0,363.49,557.53
417,10,832.0,509.99,1062.77
418,3,441.0,120.99,558.72
419,8,801.0,710.99,980.28
420,3,353.0,103.49,522.58
421,5,762.0,545.99,885.78
422,3,227.0,512.99,398.12
423,6,433.0,251.49,793.98
424,8,500.0,148.99,838.14
425,6,227.0,488.99,623.2
426,6,297.0,507.99,660.34
427,8,659.0,674.49,804.99
428,4,368.0,633.49,490.28
429,4,162.0,145.49,475.3
430,9,762.0,692.99,911.2
431,4,177.0,196.99,481.32
432,3,825.0,310.99,728.19
433,8,210.0,792.99,577.39
434,4,798.0,611.99,757.86
435,4,264.0,496.99,523.32
436,10,759.0,810.49,907.09
437,6,640.0,74.49,927.31
438,3,804.0,560.49,703.13
439,10,150.0,129.49,741.67
440,3,675.0,709.49,650.19
441,7,761.0,264.99,1094.09
442,10,384.0,353.99,900.81
443,2,499.0,490.49,394.3
444,1,397.0,735.49,262.58
445,6,73.0,274.99,522.21
446,9,694.0,474.99,989.51
447,2,689.0,86.99,571.83
448,5,223.0,785.49,475.87
449,10,517.0,668.99,958.61
450,3,596.0,291.49,622.48
451,1,433.47,200.17,353.85
452,1,361.45,293.26,348.7
453,1,426.87,370.23,425.29
454,1,388.5,786.9,703.34
455,2,779.35,899.04,1220.25
456,2,565.77,504.44,625.95
457,3,778.34,566.08,894.39
458,3,1177.15,162.38,741.85
459,1,325.99,575.68,489.63
460,1,268.21,863.78,714.91
461,3,954.91,510.15,827.8
462,3,1000.97,423.79,782.89
463,2,653.63,661.58,770.4
464,2,582.77,635.19,706.93
465,3,1096.2,834.56,1211.03
466,1,401.78,601.52,550.09
467,3,988.12,553.67,838.77
468,2,806.9,841.31,1166.79
469,2,855.34,894.43,1234.77
470,1,256.67,424.79,358.99
471,3,965.03,141.76,746.38
472,2,549.17,812.66,889.58
473,3,753.78,822.5,1221.45
474,2,590.71,864.93,996.09
475,2,781.95,530.21,761.6
476,3,1252.29,401.95,753.11
477,2,803.52,804.34,1135.0
478,3,1120.65,722.51,1056.27
479,3,1142.55,523.13,819.03
480,1,331.7,537.72,468.29
481,2,549.33,477.49,413.69
482,2,688.49,521.5,694.73
483,1,338.5,317.38,348.69
484,1,334.04,413.75,391.25
485,3,1078.95,411.04,799.27
486,2,855.3,369.34,663.0
487,3,1138.76,798.2,1174.47
488,2,883.98,613.62,813.36
489,3,812.76,225.87,737.92
490,3,1248.84,738.48,1076.61
491,1,272.37,649.32,519.8
492,2,654.88,114.82,582.24
493,1,408.46,547.84,510.74
494,3,1001.77,319.53,751.92
495,1,445.6,460.16,484.0
496,1,287.52,410.39,381.37
497,2,775.05,803.21,1115.8
498,2,541.81,741.29,794.01
499,3,1132.53,418.09,796.5
500,3,1251.09,162.84,723.89
501,2,789.97,715.83,973.56
502,2,840.96,613.85,808.36
503,2,760.34,301.78,608.82
504,1,275.39,290.54,301.35
505,2,770.1,756.19,1044.57
506,1,262.43,294.99,183.03
507,3,1301.45,351.22,753.5
508,2,603.13,370.18,574.49
509,2,818.36,626.06,838.5
510,2,684.96,198.12,585.43
511,2,678.1,645.7,759.77
512,3,785.61,193.84,783.02
513,2,610.59,423.86,589.57
514,1,284.28,573.66,473.02
515,1,277.02,352.96,326.27
516,2,809.16,571.96,769.07
517,3,1022.71,166.54,748.89
518,3,959.24,839.34,1233.97
519,2,734.84,632.73,785.11
520,1,354.56,576.14,514.39
521,3,1023.03,636.39,916.04
522,3,1213.43,291.53,726.97
523,3,877.99,843.39,1247.59
524,1,296.78,564.88,468.87
525,1,318.2,739.42,625.49
526,1,257.52,596.37,483.65
527,2,681.43,303.32,578.85
528,1,372.2,837.52,748.46
529,3,1164.8,516.89,797.04
530,1,295.27,492.73,429.68
531,2,601.3,453.81,599.8
532,3,756.03,622.23,925.72
533,1,435.03,828.79,771.26
534,2,826.24,326.9,634.98
535,1,404.81,296.0,381.43
536,1,370.51,845.76,749.59
537,3,1348.59,643.79,888.09
538,1,348.64,391.87,386.24
539,3,831.62,756.87,1175.41
540,2,633.16,331.36,571.7
541,1,425.87,871.81,815.97
542,2,660.4,804.53,992.59
543,2,507.53,708.66,727.07
544,1,325.25,137.92,297.52
545,1,327.8,588.3,506.86
546,1,280.86,556.8,460.33
547,3,778.51,835.46,1252.04
548,3,951.97,752.25,1144.17
549,1,355.38,512.58,471.51
550,3,1263.27,341.13,755.45
551,6,176.28,1258.98,1438.95
552,6,108.9,883.68,1162.55
553,6,202.45,1004.71,1309.08
554,9,213.89,1052.62,1438.56
555,5,146.53,1013.62,1240.77
556,5,89.08,252.45,506.22
557,8,158.81,337.0,651.02
558,7,113.84,519.52,748.51
559,8,110.92,831.72,1068.08
560,6,89.81,1186.37,1380.66
561,8,225.0,467.53,743.01
562,5,171.63,1291.57,1400.74
563,9,222.77,600.3,877.13
564,7,159.44,360.51,692.56
565,6,91.69,1263.17,1420.26
566,9,134.56,286.44,652.67
567,5,73.06,617.52,672.55
568,5,75.5,455.96,547.63
569,9,107.96,665.92,860.55
570,9,188.8,999.66,1390.37
571,5,172.38,424.04,613.94
572,6,171.38,230.39,618.92
573,6,167.07,662.02,848.78
574,9,327.51,1103.06,1474.83
575,7,78.59,978.78,1314.78
576,9,155.14,274.69,661.01
577,8,110.51,1241.1,1435.68
578,8,164.17,324.01,649.97
579,8,239.99,922.83,1268.21
580,6,199.34,235.26,643.78
581,8,110.08,276.55,575.41
582,6,154.38,849.34,1124.04
583,5,108.81,454.55,577.38
584,6,69.34,357.47,577.98
585,9,187.81,404.58,734.88
586,6,141.73,1355.67,1459.06
587,9,217.31,969.58,1366.43
588,8,289.14,644.78,852.64
589,5,123.75,887.34,1094.91
590,9,247.11,869.23,1198.26
591,8,154.78,1330.84,1467.8
592,9,324.6,529.55,885.15
593,8,278.28,768.69,1045.03
594,8,262.93,1286.83,1484.93
595,9,219.83,282.75,722.43
596,6,202.89,1146.49,522.26
597,5,196.67,1287.69,1408.53
598,9,196.2,877.97,1230.34
599,5,78.67,746.61,849.51
600,5,64.61,1185.92,1298.49
601,8,192.02,1128.66,1451.23
602,6,150.51,538.46,712.11
603,9,231.78,1278.6,1559.63
604,5,126.28,1283.41,1381.53
605,5,65.56,430.65,532.68
606,6,88.56,1228.95,1388.12
607,6,168.28,629.76,778.29
608,6,151.28,208.96,588.89
609,5,82.26,681.53,745.58
610,6,139.56,1386.83,1460.45
611,7,266.82,553.82,840.94
612,8,211.95,826.13,1087.23
613,5,58.26,1008.35,1201.97
614,9,127.15,1256.6,1518.48
615,6,62.96,1267.7,1395.9
616,7,203.2,551.1,814.81
617,5,114.06,871.03,1047.6
618,5,130.83,1201.76,1337.83
619,7,241.77,1071.36,1420.62
620,6,221.64,339.96,677.99
621,9,284.05,1141.06,1501.03
622,5,60.47,211.13,475.78
623,5,78.74,1308.25,1368.03
624,5,67.72,299.35,503.47
625,9,355.94,360.22,840.24
626,5,183.43,1136.34,1336.04
627,9,320.32,914.27,1284.38
628,6,105.64,533.01,690.97
629,9,333.05,1076.69,1480.0
630,5,54.1,846.26,951.28
631,5,134.48,719.68,833.15
632,6,199.2,457.99,600.1
633,8,220.73,345.71,685.56
634,6,226.82,1197.75,1436.24
635,9,180.95,573.25,826.03
636,7,108.53,388.75,660.87
637,7,153.79,1347.03,1518.01
638,5,137.19,1301.52,1389.89
639,8,303.56,205.85,707.6
640,7,236.94,1323.63,1532.58
641,5,139.04,209.38,538.59
642,7,160.74,824.95,1133.74
643,6,193.41,483.2,714.27
644,9,134.12,719.8,925.17
645,9,288.43,649.06,951.4
646,5,86.28,973.41,1187.24
647,6,179.48,348.01,672.5
648,9,98.74,954.21,1306.76
649,5,174.27,1391.87,1421.34
650,6,70.83,601.32,711.9
651,8,817.0,1110.29,1855.19
652,7,986.0,1205.82,1887.05
653,9,1004.0,1323.92,2000.83
654,9,904.0,1013.85,1934.71
655,6,1067.0,1622.51,1841.71
656,9,1124.0,1493.19,1948.93
657,9,959.0,1166.22,1994.86
658,7,1180.0,1602.7,1950.79
659,7,1128.0,1062.71,1936.76
660,7,1044.0,1696.4,1917.28
661,8,1140.0,1392.93,1828.23
662,7,1164.0,1410.78,1949.73
663,8,807.0,1534.06,1793.84
664,7,1146.0,1736.56,1932.33
665,9,963.0,1663.9,1846.95
666,9,1004.0,1398.73,1884.71
667,9,831.0,1534.89,1720.42
668,9,957.0,1179.02,1995.06
669,8,912.0,1430.54,1806.05
670,8,1041.0,1639.18,1841.42
671,8,905.0,1619.56,1799.12
672,8,808.0,1461.82,1768.69
673,7,990.0,1087.81,1879.04
674,7,981.0,1737.94,1858.97
675,9,989.0,1099.7,1995.91
676,6,1171.0,1599.03,1909.15
677,7,928.0,1233.78,1868.13
678,8,1149.0,1121.03,2042.38
679,6,802.0,1593.81,1772.64
680,7,1133.0,1279.86,1933.66
681,9,905.0,1616.54,1858.76
682,9,877.0,1176.37,1803.72
683,7,1143.0,1452.33,1972.74
684,7,1149.0,1609.84,1931.99
685,7,1122.0,1150.7,1947.88
686,9,877.0,1743.03,1736.89
687,6,882.0,1482.15,1808.38
688,9,1057.0,1410.97,1880.28
689,9,1150.0,1791.96,1866.26
690,6,824.0,1547.56,1782.16
691,8,826.0,1310.47,1776.99
692,9,1069.0,1372.94,1887.52
693,7,1113.0,1555.96,1914.19
694,8,809.0,1268.68,1755.3
695,8,813.0,1400.63,1773.32
696,9,1081.0,1608.05,1934.47
697,7,850.0,1731.77,1839.09
698,9,873.0,1749.38,1729.68
699,9,1167.0,1335.68,2080.97
700,8,1199.0,1200.51,1886.3
701,6,948.0,1488.23,1827.42
702,8,1031.0,1513.88,1810.18
703,6,1154.0,1140.09,1908.75
704,7,946.0,1515.25,1907.67
705,9,1119.0,1418.19,1950.49
706,8,966.0,1796.25,1800.89
707,7,1003.0,1589.65,1900.2
708,8,1029.0,1061.78,1974.2
709,6,1153.0,1305.31,1897.38
710,6,1177.0,1083.48,1877.37
711,6,1150.0,1627.62,1860.08
712,7,880.0,1775.57,1848.6
713,6,1055.0,1793.52,1818.95
714,8,950.0,1525.47,1817.68
715,7,1002.0,1731.44,1895.59
716,8,1070.0,1747.86,1791.12
717,7,1167.0,1503.82,1943.63
718,6,1020.0,1550.54,1832.59
719,9,1163.0,1544.7,1923.43
720,6,900.0,1478.53,1795.71
721,9,1183.0,1206.35,2092.49
722,7,953.0,1237.55,1898.71
723,7,915.0,1608.92,1853.87
724,7,1126.0,1736.21,1948.07
725,9,946.0,1763.5,1849.62
726,8,1193.0,1129.55,2045.27
727,7,832.0,1450.05,1867.37
728,7,1090.0,1224.79,1932.13
729,9,993.0,1470.02,1914.71
730,6,1111.0,1322.07,1897.13
731,9,960.0,1532.85,1861.4
732,7,853.0,1089.72,1809.2
733,9,805.0,1340.2,1798.5
734,9,1117.0,1768.53,1888.44
735,8,907.0,1028.99,943.33
736,8,837.0,1104.2,1865.47
737,8,1106.0,1588.21,1867.46
738,7,824.0,1178.86,1810.27
739,6,1105.0,1283.96,1825.42
740,7,1165.0,1135.12,1996.59
741,6,932.0,1497.49,809.89
742,7,1075.0,1356.84,1917.68
743,9,1103.0,1337.39,2063.09
744,8,829.0,1487.89,1774.06
745,9,975.0,1277.24,2004.19
746,9,826.0,1403.07,1719.84
747,8,1169.0,1572.8,1837.44
748,7,1118.0,1033.63,2024.68
749,6,933.0,1335.99,840.22
750,8,963.0,1579.96,1794.69
751,1,576.0,2373.15,1361.63
752,1,152.0,2209.06,1199.47
753,10,512.0,80.42,935.23
754,14,504.0,2259.82,1817.84
755,4,328.0,1501.71,1432.33
756,4,901.0,86.96,789.91
757,8,911.0,492.05,1229.22
758,8,1049.0,526.75,1304.42
759,3,519.0,360.18,668.52
760,12,788.0,421.27,1361.24
761,12,1129.0,1234.3,2046.28
762,3,793.0,1975.29,1524.48
763,14,659.0,1076.39,1867.28
764,14,89.0,1652.22,1752.5
765,2,1014.0,1680.98,1486.68
766,14,904.0,1248.44,1957.9
767,11,368.0,1514.77,1718.77
768,7,817.0,2113.72,1815.82
769,12,624.0,2351.83,1770.28
770,13,1146.0,427.72,1351.66
771,3,213.0,2375.24,1409.55
772,13,1064.0,1186.78,2034.1
773,11,513.0,1428.36,1764.43
774,13,446.0,1531.67,1826.16
775,11,560.0,947.22,1557.67
776,9,270.0,1056.21,1437.17
777,6,298.0,1793.43,1573.62
778,8,291.0,411.83,758.87
779,13,627.0,1729.02,1873.21
780,8,1132.0,627.48,1425.61
781,12,509.0,2475.72,1732.39
782,6,223.0,2209.25,1561.03
783,12,1014.0,847.28,1862.42
784,1,53.0,1381.07,1122.92
785,4,1068.0,1056.57,1452.27
786,11,1047.0,1596.76,1940.73
787,9,56.0,197.71,553.79
788,13,437.0,1777.4,1829.55
789,12,97.0,1248.58,1610.88
790,4,51.0,173.85,384.71
791,9,1063.0,1609.01,1928.41
792,9,1082.0,995.41,2030.68
793,11,488.0,612.55,1166.06
794,4,410.0,329.09,660.3
795,1,603.0,1650.51,1333.52
796,11,443.0,1578.59,1750.52
797,13,913.0,2242.16,1863.09
798,3,1056.0,92.97,722.93
799,12,65.0,2436.96,1595.07
800,1,940.0,2332.81,1450.36
801,8,222.0,2360.99,1516.9
802,6,304.0,1093.53,1411.42
803,12,768.0,443.16,1362.07
804,12,1085.0,1149.0,2025.53
805,10,113.0,2082.66,1554.53
806,12,117.0,586.42,914.68
807,8,807.0,773.93,1574.88
808,6,1190.0,1834.53,1852.33
809,4,43.0,1867.22,1359.92
810,13,1045.0,2409.07,1868.62
811,9,997.0,497.5,1309.46
812,11,541.0,385.08,1007.03
813,1,48.0,843.74,591.32
814,1,75.0,114.73,149.62
815,5,1034.0,723.89,1286.49
816,3,71.0,1557.64,1287.04
817,9,515.0,756.5,1175.01
818,11,1124.0,1932.8,1930.46
819,1,583.0,2410.52,1377.96
