trip_duration_days,miles_traveled,total_receipts_amount,actual_reimbursement,champion_prediction,error,abs_error
14,1158.0,2104.61,1899.69,2024.7312,-125.04120117187495,125.04120117187495
3,1166.0,530.44,785.59,876.6942,-91.10421386718747,91.10421386718747
12,916.0,2394.85,1740.85,1838.1785,-97.32846679687509,97.32846679687509
14,516.0,1464.67,1842.1,1951.8589,-109.75888671875009,109.75888671875009
5,467.0,1243.31,1549.82,1499.9484,49.871635742187436,49.871635742187436
5,654.0,1272.89,1724.68,1626.1484,98.53156250000006,98.53156250000006
5,1076.0,190.33,879.65,987.36914,-107.71914062500002,107.71914062500002
14,81.0,1251.97,1682.62,1735.1995,-52.57946289062511,52.57946289062511
3,760.0,2073.25,1522.45,1537.034,-14.584057617187455,14.584057617187455
5,714.0,617.72,1164.2,1123.4348,40.765185546875045,40.765185546875045
4,217.0,1506.46,1455.37,1415.9247,39.44531738281239,39.44531738281239
6,840.0,870.82,1496.46,1589.8846,-93.42464355468746,93.42464355468746
4,263.0,2469.06,1503.98,1437.9739,66.00612304687502,66.00612304687502
2,794.32,402.31,671.06,682.79346,-11.733457031250055,11.733457031250055
11,663.0,2141.08,1715.29,1764.7946,-49.504555664062536,49.504555664062536
3,1136.0,1296.54,1536.6,1522.0203,14.579736328124909,14.579736328124909
13,8.0,78.44,713.71,732.27637,-18.566367187499964,18.566367187499964
6,204.0,818.99,628.4,496.20847,132.1915344238281,132.1915344238281
5,955.0,106.86,897.78,948.0942,-50.31417724609378,50.31417724609378
9,748.0,653.42,1249.66,1305.1917,-55.53165039062492,55.53165039062492
9,662.0,2275.59,1599.27,1651.493,-52.22304199218752,52.22304199218752
13,63.0,107.92,710.25,868.0854,-157.83538818359375,157.83538818359375
9,218.0,1203.45,1561.63,1512.8792,48.75084960937511,48.75084960937511
2,713.0,740.33,1048.28,971.82715,76.45285156249997,76.45285156249997
9,13.0,986.41,1271.52,1245.5273,25.992656249999982,25.992656249999982
12,33.0,1249.13,1707.38,1579.2329,128.1470898437501,128.1470898437501
14,865.0,1422.11,1921.18,2107.9656,-186.78557617187494,186.78557617187494
2,301.0,769.23,731.28,793.133,-61.85299560546878,61.85299560546878
14,530.0,2028.06,2079.14,1923.704,155.43602050781237,155.43602050781237
3,512.0,1251.6,1360.76,1391.368,-30.60804199218751,30.60804199218751
3,769.0,2497.93,1587.8,1553.9587,33.841259765624955,33.841259765624955
3,269.0,708.05,799.12,781.42535,17.694645996093755,17.694645996093755
5,1010.0,2054.21,1810.37,1717.5399,92.83008300781239,92.83008300781239
1,181.0,128.05,225.12,174.78691,50.33308898925782,50.33308898925782
10,872.0,2191.27,1776.62,1755.8853,20.73474609374989,20.73474609374989
4,650.0,619.49,676.38,592.026,84.3539990234375,84.3539990234375
14,1100.0,237.69,1265.57,1445.2742,-179.70416992187506,179.70416992187506
5,66.13,848.03,1050.25,993.26575,56.9842529296875,56.9842529296875
12,1075.0,2328.11,1798.38,1870.3042,-71.92419921874989,71.92419921874989
4,1194.0,2250.51,1691.15,1600.811,90.33896484375009,90.33896484375009
10,87.0,498.96,781.97,787.17395,-5.203950195312473,5.203950195312473
12,333.0,1103.21,1618.13,1646.1008,-27.97083007812489,27.97083007812489
7,636.0,697.02,1276.06,1272.2533,3.8067041015624454,3.8067041015624454
7,623.0,1691.39,1800.86,1725.2024,75.6576074218749,75.6576074218749
6,470.0,2235.72,1628.6,1605.3282,23.27175292968741,23.27175292968741
2,660.0,1944.4,1531.2,1466.2605,64.93950195312505,64.93950195312505
11,650.0,524.8,1179.09,1248.7512,-69.66122070312508,69.66122070312508
6,884.0,1798.31,1897.87,1823.1711,74.69885742187489,74.69885742187489
1,252.75,285.5,331.74,293.60013,38.139871826171884,38.139871826171884
1,697.0,2148.5,1421.07,1395.509,25.560966796874936,25.560966796874936
1,362.79,749.19,636.51,687.5928,-51.08277343750001,51.08277343750001
3,175.0,440.19,431.17,524.8974,-93.72739990234373,93.72739990234373
5,942.0,2092.87,1696.72,1709.6829,-12.962861328124973,12.962861328124973
2,1155.0,1517.18,1543.17,1536.5585,6.611528320312573,6.611528320312573
8,1173.0,671.25,1419.34,1726.0417,-306.7017480468751,306.7017480468751
10,224.0,407.51,794.7,832.7399,-38.039929199218705,38.039929199218705
12,466.0,1291.33,1770.37,1798.6812,-28.31115234375011,28.31115234375011
11,1004.0,167.15,1175.65,1243.981,-68.33095703124991,68.33095703124991
14,1090.0,2248.68,1905.5,1975.2441,-69.744140625,69.744140625
7,738.0,730.28,1429.72,1445.2456,-15.525605468749973,15.525605468749973
5,1004.0,2367.63,1743.85,1695.8027,48.04726562499991,48.04726562499991
3,154.0,274.04,406.91,445.8572,-38.9472082519531,38.9472082519531
12,675.0,2277.93,1807.33,1801.4884,5.841596679687427,5.841596679687427
3,41.0,4.52,320.12,306.95523,13.16476928710938,13.16476928710938
7,125.0,193.62,616.24,639.4102,-23.17021728515624,23.17021728515624
2,798.0,2334.41,1485.4,1478.3917,7.008276367187591,7.008276367187591
10,965.0,1851.28,1805.77,1851.0209,-45.25087402343752,45.25087402343752
8,836.0,735.52,1606.63,1504.4789,102.15111816406261,102.15111816406261
5,781.0,2114.27,1789.85,1702.2703,87.57973632812491,87.57973632812491
2,941.0,1565.77,1432.79,1515.1472,-82.35721679687504,82.35721679687504
3,692.0,450.7,748.57,823.4772,-74.90717285156245,74.90717285156245
12,643.0,2194.16,1758.03,1797.3964,-39.36636230468753,39.36636230468753
9,1078.0,161.85,1260.96,1232.0415,28.918496093750036,28.918496093750036
7,1168.0,667.94,1639.55,1617.9154,21.634594726562455,21.634594726562455
1,462.0,2047.57,1202.9,1305.1614,-102.26137695312491,102.26137695312491
12,1065.0,203.2,1408.25,1323.5989,84.651123046875,84.651123046875
2,222.0,456.24,437.4,439.01614,-1.6161437988281477,1.6161437988281477
5,521.0,1448.55,1624.01,1625.9257,-1.915659179687509,1.915659179687509
8,1124.0,1908.69,1833.27,1857.3182,-24.048237304687518,24.048237304687518
5,586.0,2135.36,1661.61,1645.2166,16.3934472656249,16.3934472656249
13,19.0,807.27,1331.53,1227.3812,104.14877441406247,104.14877441406247
5,516.0,1450.67,1547.5,1620.7557,-73.2557373046875,73.2557373046875
1,288.72,159.26,303.94,252.96318,50.97681945800781,50.97681945800781
5,477.0,704.42,1045.96,1054.9202,-8.960166015624964,8.960166015624964
5,262.0,1173.79,1485.59,1385.7783,99.81167968749992,99.81167968749992
14,600.0,1120.05,1847.84,1893.0914,-45.25143066406258,45.25143066406258
11,654.0,1516.42,1870.43,1872.556,-2.1260302734374363,2.1260302734374363
5,754.0,489.99,765.13,689.0888,76.04119384765625,76.04119384765625
9,994.0,1742.62,1849.58,1909.8867,-60.30671875000007,60.30671875000007
13,1055.0,2005.84,1997.52,1978.9027,18.617290039062482,18.617290039062482
1,893.0,19.76,570.71,559.9399,10.770119628906286,10.770119628906286
10,834.0,1820.8,1883.49,1792.8861,90.60389160156251,90.60389160156251
1,276.85,485.54,361.66,412.75845,-51.0984533691406,51.0984533691406
2,752.0,958.29,1144.41,1220.7046,-76.29458984374992,76.29458984374992
6,909.0,1332.18,1720.21,1848.3064,-128.09639648437496,128.09639648437496
1,458.0,834.7,737.28,819.26416,-81.98416015625003,81.98416015625003
14,807.0,2358.41,1819.41,1910.6176,-91.20755371093742,91.20755371093742
3,471.0,288.19,535.67,612.87366,-77.20365722656254,77.20365722656254
12,37.0,52.65,789.01,747.7785,41.23149658203124,41.23149658203124
5,261.0,464.94,621.12,714.99146,-93.871455078125,93.871455078125
5,195.73,1228.49,511.23,515.4548,-4.224772949218732,4.224772949218732
9,463.0,1024.53,1476.48,1499.6604,-23.180400390624982,23.180400390624982
