trip_duration_days,miles_traveled,total_receipts_amount,actual_reimbursement,tabpfn_prediction,error,abs_error
9,578.0,1167.71,1587.21,1566.9846,20.225380859375036,20.225380859375036
4,477.0,18.97,631.5,652.0891,-20.589111328125,20.589111328125
14,414.0,1919.7,1918.89,1896.9536,21.9363867187501,21.9363867187501
10,5.0,1338.9,1610.25,1511.1072,99.142822265625,99.142822265625
2,1175.0,816.2,1237.62,1099.8472,137.7728320312499,137.7728320312499
3,1158.0,1107.4,1361.3,1425.029,-63.729052734375045,63.729052734375045
6,522.0,1210.87,1577.01,1554.6455,22.36449218749999,22.36449218749999
11,448.0,732.79,1090.35,1195.2062,-104.85617675781259,104.85617675781259
8,323.0,46.48,703.45,793.34265,-89.89265136718745,89.89265136718745
4,184.0,983.77,1202.69,1136.6759,66.01409667968755,66.01409667968755
7,950.0,1739.62,2032.23,1882.6732,149.55678222656252,149.55678222656252
3,1159.0,2209.44,1434.84,1520.1097,-85.26974121093758,85.26974121093758
8,372.0,348.37,950.24,844.74194,105.49805664062501,105.49805664062501
3,127.0,293.49,303.2,375.65668,-72.45667724609376,72.45667724609376
6,907.0,1650.17,1737.86,1821.6595,-83.7995458984376,83.7995458984376
1,432.0,581.71,448.34,495.26828,-46.9282800292969,46.9282800292969
10,631.0,1220.71,1730.86,1660.0992,70.7607568359374,70.7607568359374
2,1139.0,306.43,726.14,665.6195,60.520493164062486,60.520493164062486
1,716.0,1396.41,1376.59,1334.4164,42.17361816406242,42.17361816406242
8,392.0,661.27,978.13,988.71594,-10.585942382812505,10.585942382812505
3,375.0,1346.21,1339.93,1358.4342,-18.504204101562436,18.504204101562436
4,262.0,1681.28,1435.34,1452.513,-17.172939453125082,17.172939453125082
11,532.0,2419.86,1653.69,1676.5999,-22.909853515624945,22.909853515624945
1,250.0,1300.17,1145.33,1094.9794,50.35062988281243,50.35062988281243
3,307.0,266.21,540.97,476.2884,64.68160888671878,64.68160888671878
3,606.0,1184.23,1364.54,1393.9215,-29.381508789062536,29.381508789062536
11,17.0,550.58,830.07,839.18054,-9.11054199218745,9.11054199218745
6,924.0,1227.21,1871.76,1803.1024,68.65758300781249,68.65758300781249
7,1126.0,1103.75,2014.72,2010.7185,4.001494140625027,4.001494140625027
10,273.0,799.9,1155.05,1166.2686,-11.218554687500045,11.218554687500045
1,309.0,1211.37,1110.55,1077.3698,33.180249023437455,33.180249023437455
12,307.0,957.17,1432.75,1470.0596,-37.3095703125,37.3095703125
12,96.0,1164.37,1553.21,1596.9353,-43.725302734374964,43.725302734374964
8,467.0,1178.71,1483.33,1498.7113,-15.381303710937573,15.381303710937573
10,150.0,418.41,844.9,775.5864,69.31357421874998,69.31357421874998
4,205.0,545.57,682.22,627.5559,54.66409179687503,54.66409179687503
2,1189.0,1164.74,1666.52,1352.301,314.218974609375,314.218974609375
10,1083.0,2105.36,1844.58,1861.6633,-17.083330078125073,17.083330078125073
5,36.0,2022.94,1410.58,1408.4268,2.1532421874999272,2.1532421874999272
6,471.0,332.51,872.19,852.9902,19.199826660156305,19.199826660156305
10,643.0,2263.77,1685.92,1684.9102,1.0098437500000728,1.0098437500000728
11,24.0,2029.04,1569.37,1576.041,-6.671015625000109,6.671015625000109
12,714.0,2003.23,1829.06,1866.6991,-37.639096679687555,37.639096679687555
4,305.0,125.79,664.43,575.4868,88.94318359374995,88.94318359374995
14,296.0,485.68,924.9,1145.5688,-220.66884765625002,220.66884765625002
11,741.0,1207.39,1878.06,1817.863,60.196962890624945,60.196962890624945
12,986.0,2390.92,1760.0,1847.3977,-87.397705078125,87.397705078125
8,978.0,710.43,1624.58,1547.3184,77.26164062499993,77.26164062499993
8,1009.0,1378.07,1903.76,1984.7437,-80.98365234375001,80.98365234375001
3,80.0,517.54,457.49,453.82794,3.662058105468759,3.662058105468759
10,164.0,1144.9,1516.43,1501.391,15.039008789062564,15.039008789062564
5,840.0,941.55,1676.48,1509.7098,166.77016113281252,166.77016113281252
5,629.0,484.34,1029.87,944.729,85.14099609374989,85.14099609374989
6,761.0,530.19,1120.1,1117.7284,2.371606445312409,2.371606445312409
1,292.0,449.83,363.02,288.60855,74.41144897460936,74.41144897460936
2,370.0,1554.5,1311.23,1309.4117,1.8182568359375182,1.8182568359375182
14,1158.0,2104.61,1899.69,2053.1187,-153.42865234374995,153.42865234374995
3,1166.0,530.44,785.59,871.624,-86.03402343749997,86.03402343749997
12,916.0,2394.85,1740.85,1832.5062,-91.65622558593759,91.65622558593759
14,516.0,1464.67,1842.1,1928.149,-86.04904785156259,86.04904785156259
5,467.0,1243.31,1549.82,1511.3672,38.452812499999936,38.452812499999936
5,654.0,1272.89,1724.68,1609.3242,115.35578125000006,115.35578125000006
5,1076.0,190.33,879.65,943.1108,-63.46077880859377,63.46077880859377
14,81.0,1251.97,1682.62,1749.3528,-66.73278320312511,66.73278320312511
3,760.0,2073.25,1522.45,1534.0858,-11.635815429687455,11.635815429687455
5,714.0,617.72,1164.2,1106.6959,57.504077148437545,57.504077148437545
4,217.0,1506.46,1455.37,1415.9185,39.45154296874989,39.45154296874989
6,840.0,870.82,1496.46,1530.9331,-34.473105468749964,34.473105468749964
4,263.0,2469.06,1503.98,1461.9917,41.98830078125002,41.98830078125002
2,794.32,402.31,671.06,656.12195,14.938051757812445,14.938051757812445
11,663.0,2141.08,1715.29,1775.66,-60.370034179687536,60.370034179687536
3,1136.0,1296.54,1536.6,1467.256,69.34401855468741,69.34401855468741
13,8.0,78.44,713.71,854.6039,-140.89388183593746,140.89388183593746
6,204.0,818.99,628.4,1084.2196,-455.8196044921875,455.8196044921875
5,955.0,106.86,897.78,919.11743,-21.337431640625027,21.337431640625027
9,748.0,653.42,1249.66,1308.6519,-58.99185546874992,58.99185546874992
9,662.0,2275.59,1599.27,1650.2953,-51.02528808593752,51.02528808593752
13,63.0,107.92,710.25,894.6632,-184.4132080078125,184.4132080078125
9,218.0,1203.45,1561.63,1513.6533,47.97667968750011,47.97667968750011
2,713.0,740.33,1048.28,963.50745,84.77255371093747,84.77255371093747
9,13.0,986.41,1271.52,1267.0634,4.456645507812482,4.456645507812482
12,33.0,1249.13,1707.38,1599.699,107.68102539062511,107.68102539062511
14,865.0,1422.11,1921.18,2042.0588,-120.87883789062494,120.87883789062494
2,301.0,769.23,731.28,767.64484,-36.36483642578128,36.36483642578128
14,530.0,2028.06,2079.14,1910.6831,168.45689453124987,168.45689453124987
3,512.0,1251.6,1360.76,1374.1714,-13.411386718750009,13.411386718750009
3,769.0,2497.93,1587.8,1521.2173,66.58271484374995,66.58271484374995
3,269.0,708.05,799.12,751.6713,47.448674316406255,47.448674316406255
5,1010.0,2054.21,1810.37,1727.8009,82.56909667968739,82.56909667968739
1,181.0,128.05,225.12,194.32715,30.792851562500005,30.792851562500005
10,872.0,2191.27,1776.62,1785.7408,-9.12084472656261,9.12084472656261
4,650.0,619.49,676.38,968.50604,-292.12604248046875,292.12604248046875
14,1100.0,237.69,1265.57,1398.9097,-133.33966796875006,133.33966796875006
5,66.13,848.03,1050.25,986.06537,64.18463134765625,64.18463134765625
12,1075.0,2328.11,1798.38,1890.4583,-92.07825195312489,92.07825195312489
4,1194.0,2250.51,1691.15,1622.073,69.07700195312509,69.07700195312509
10,87.0,498.96,781.97,796.9952,-15.025178222656223,15.025178222656223
12,333.0,1103.21,1618.13,1630.548,-12.41797363281239,12.41797363281239
7,636.0,697.02,1276.06,1187.627,88.43304687499995,88.43304687499995
7,623.0,1691.39,1800.86,1689.4092,111.4508203124999,111.4508203124999
6,470.0,2235.72,1628.6,1668.5001,-39.90012207031259,39.90012207031259
2,660.0,1944.4,1531.2,1457.7092,73.49077148437505,73.49077148437505
11,650.0,524.8,1179.09,1207.8743,-28.784267578125082,28.784267578125082
6,884.0,1798.31,1897.87,1807.5477,90.32227050781239,90.32227050781239
1,252.75,285.5,331.74,197.43605,134.30394958496095,134.30394958496095
1,697.0,2148.5,1421.07,1367.8093,53.260673828124936,53.260673828124936
1,362.79,749.19,636.51,668.9257,-32.41572021484376,32.41572021484376
3,175.0,440.19,431.17,435.08685,-3.916853027343734,3.916853027343734
5,942.0,2092.87,1696.72,1731.151,-34.43100097656247,34.43100097656247
2,1155.0,1517.18,1543.17,1439.659,103.51094238281257,103.51094238281257
8,1173.0,671.25,1419.34,1644.6223,-225.28231445312508,225.28231445312508
10,224.0,407.51,794.7,811.81665,-17.116650390624955,17.116650390624955
12,466.0,1291.33,1770.37,1747.2819,23.08813964843739,23.08813964843739
11,1004.0,167.15,1175.65,1239.0828,-63.43276367187491,63.43276367187491
14,1090.0,2248.68,1905.5,1994.4066,-88.9066162109375,88.9066162109375
7,738.0,730.28,1429.72,1340.6185,89.10146972656253,89.10146972656253
5,1004.0,2367.63,1743.85,1716.5814,27.26857910156241,27.26857910156241
3,154.0,274.04,406.91,393.22537,13.6846276855469,13.6846276855469
12,675.0,2277.93,1807.33,1819.6567,-12.326738281250073,12.326738281250073
3,41.0,4.52,320.12,320.0897,0.030308837890629547,0.030308837890629547
7,125.0,193.62,616.24,605.0642,11.175791015625009,11.175791015625009
2,798.0,2334.41,1485.4,1479.7042,5.695776367187591,5.695776367187591
10,965.0,1851.28,1805.77,1846.2767,-40.50673339843752,40.50673339843752
8,836.0,735.52,1606.63,1458.9934,147.6365917968751,147.6365917968751
5,781.0,2114.27,1789.85,1712.8728,76.97719726562491,76.97719726562491
2,941.0,1565.77,1432.79,1489.3998,-56.609780273437536,56.609780273437536
3,692.0,450.7,748.57,748.59216,-0.022163085937449978,0.022163085937449978
12,643.0,2194.16,1758.03,1817.8835,-59.85354492187503,59.85354492187503
9,1078.0,161.85,1260.96,1188.8844,72.07560058593754,72.07560058593754
7,1168.0,667.94,1639.55,1561.2793,78.27070312499995,78.27070312499995
1,462.0,2047.57,1202.9,1249.8494,-46.94936523437491,46.94936523437491
12,1065.0,203.2,1408.25,1310.7898,97.460205078125,97.460205078125
2,222.0,456.24,437.4,369.18524,68.21475830078123,68.21475830078123
5,521.0,1448.55,1624.01,1580.1116,43.89842773437499,43.89842773437499
8,1124.0,1908.69,1833.27,1865.8451,-32.57509277343752,32.57509277343752
5,586.0,2135.36,1661.61,1648.859,12.7509912109374,12.7509912109374
13,19.0,807.27,1331.53,1232.3176,99.21237304687497,99.21237304687497
5,516.0,1450.67,1547.5,1580.4902,-32.990234375,32.990234375
1,288.72,159.26,303.94,232.50317,71.436826171875,71.436826171875
5,477.0,704.42,1045.96,1038.3914,7.568642578125036,7.568642578125036
5,262.0,1173.79,1485.59,1396.6101,88.97989257812492,88.97989257812492
14,600.0,1120.05,1847.84,1848.0292,-0.18917480468758185,0.18917480468758185
11,654.0,1516.42,1870.43,1832.7009,37.729072265625064,37.729072265625064
5,754.0,489.99,765.13,1018.8783,-253.7482958984375,253.7482958984375
9,994.0,1742.62,1849.58,1852.0674,-2.4873828125000728,2.4873828125000728
13,1055.0,2005.84,1997.52,1978.1138,19.406230468749982,19.406230468749982
1,893.0,19.76,570.71,558.4147,12.295327148437536,12.295327148437536
10,834.0,1820.8,1883.49,1804.689,78.80103515625001,78.80103515625001
1,276.85,485.54,361.66,315.0022,46.657802734375025,46.657802734375025
2,752.0,958.29,1144.41,1220.2134,-75.80337890624992,75.80337890624992
6,909.0,1332.18,1720.21,1809.0002,-88.79024414062496,88.79024414062496
1,458.0,834.7,737.28,812.5978,-75.31777832031253,75.31777832031253
14,807.0,2358.41,1819.41,1922.81,-103.40005859374992,103.40005859374992
3,471.0,288.19,535.67,580.12537,-44.45536621093754,44.45536621093754
12,37.0,52.65,789.01,820.4596,-31.44959472656251,31.44959472656251
5,261.0,464.94,621.12,703.8491,-82.72912109375,82.72912109375
5,195.73,1228.49,511.23,1399.4817,-888.251689453125,888.251689453125
9,463.0,1024.53,1476.48,1439.6451,36.83485839843752,36.83485839843752
